repository_key (Organisation) Record Title;idno;idMedium;number of volume;support;extent;leaf dimensions : height (mm);leaf dimensions : width (mm);justification : height (mm);justification : width (mm);columns;writtenLines;writtenLines (notes);writtenLines (note);script type;formality;handNote;scriptNote;note (deco);origDate;origDate : from;origDate : to;origDate : proposed date;origPlace (relationship marker) Record Title;iiif manifest
Genève, Bibliothèque de Genève (Organisation);lat. 147;100086642;;;197 ff. (CCLL);116;70;85;40;1;24;;;;;;Minuscule bâtarde (v. 1500);35 miniatures (f. 8, 10, 11v°, 13, 14v°, 18, 26, 34, 42v°, 45, 46v°, 54, 60v°, 72v°, 81v°, 107, 122, 158, 159, 160, 161, 162v°, 164, 165v°, 167v°, 171, 175, 178, 186, 187, 188, 190), lettres ornées (Virgo);;1490;1510;From : 1500 (CCLL) To : 1500 (CCLL)|v. 1500;Bourges (Place);https://www.e-codices.unifr.ch/metadata/iiif/bge-lat0147/manifest.json
Genève, Bibliothèque de Genève (Organisation);lat. 367;;;;;;;;;;;;;;;;;;;;;;;https://www.e-codices.unifr.ch/metadata/iiif/bge-lat0367/manifest.json
Hermetschwil, Benediktinerinnenkloster (Organisation);Cod. chart. 139;100119740;;paper;139 f.;160;115;;;;;25;;;;;;;;1476;1480;;Zürich (Place);https://www.e-codices.unifr.ch/metadata/iiif/hba-chart0139/manifest.json
Hermetschwil, Benediktinerinnenkloster (Organisation);Cod. chart. 140;;;;;;;;;;;;;;;;;;;;;;;https://www.e-codices.unifr.ch/metadata/iiif/hba-chart0140/manifest.json
Hermetschwil, Benediktinerinnenkloster (Organisation);Cod. chart. 195;100046166;;;;;;;;;;;;;;;;;;;;;;https://www.e-codices.unifr.ch/metadata/iiif/hba-chart0195/manifest.json
Hermetschwil, Benediktinerinnenkloster (Organisation);Cod. membr. 35;100134996;;;;;;;;;;;;;;;;;;;;;;https://www.e-codices.unifr.ch/metadata/iiif/hba-membr0035/manifest.json
Hermetschwil, Benediktinerinnenkloster (Organisation);Cod. membr. 61;100119748;;;;;;;;;;;;;;;;;;;;;;https://www.e-codices.unifr.ch/metadata/iiif/hba-membr0061/manifest.json
Luzern, Zentral- und Hochschulbibliothek (Organisation);P 6 4°;100110001;;;;;;;;;;;;;;;;;;;;;;https://www.e-codices.unifr.ch/metadata/iiif/zhl-P0006-4/manifest.json
Neuchâtel, Bibliothèque publique et universitaire de Neuchâtel (Organisation);AF A28;100134355;;parchment;229 ff.;150;0;;;;;;;;;;;;;1495;1515;c.1500-1505;;https://www.e-codices.unifr.ch/metadata/iiif/bpun-A0028/manifest.json
Porrentruy, Bibliothèque cantonale jurassienne (Organisation);Ms. 9;100134911;;;089 ff. (CCLL);;;;;;;;;;;;;;;1400;1430;;Besançon (Place);https://www.e-codices.unifr.ch/metadata/iiif/bcj-0009/manifest.json
Sarnen, Benediktinerkollegium (Organisation);Cod. membr. 64;100119767;;parchment;119 f.;108;83;70;50;;;22;;;;;;;;1476;1525;;;https://www.e-codices.unifr.ch/metadata/iiif/bks-membr0064/manifest.json
St. Gallen, Stiftsbibliothek (Organisation);Cod. Sang. 2107;;;;;;;;;;;;;;;;;;;;;;;https://www.e-codices.unifr.ch/metadata/iiif/csg-2107/manifest.json
St. Gallen, Stiftsbibliothek (Organisation);Cod. Sang. 470;;;;;;;;;;;;;;;;;;;;;;;https://e-codices.unifr.ch/metadata/iiif/csg-0470/manifest.json
Trogen, Kantonsbibliothek Appenzell Ausserrhoden (Organisation);CM Ms. 4;100085178;;parchment;202 f.;;;;;;;;;;;;;;;1401;1415;;;https://www.e-codices.unifr.ch/metadata/iiif/cea-0004/manifest.json
Trogen, Kantonsbibliothek Appenzell Ausserrhoden (Organisation);CM Ms. 5;100085179;;parchment;191 f.;;;;;;;;;;;;;;;1401;1550;;;https://www.e-codices.unifr.ch/metadata/iiif/cea-0005/manifest.json
Trogen, Kantonsbibliothek Appenzell Ausserrhoden (Organisation);CM Ms. 6;100085177;;parchment;212 f.;;;;;;;;;;;;;;;1446;1455;;;https://www.e-codices.unifr.ch/metadata/iiif/cea-0006/manifest.json
Trogen, Kantonsbibliothek Appenzell Ausserrhoden (Organisation);CM Ms. 7;;;parchment;108 f.;180;130;;;;;;;;;;;;;1490;1510;c.1500;;https://www.e-codices.unifr.ch/metadata/iiif/cea-0007/manifest.json
Trogen, Kantonsbibliothek Appenzell Ausserrhoden (Organisation);CM Ms. 8;100122034;;;;;;;;;;;;;;;;;;;;;;https://www.e-codices.unifr.ch/metadata/iiif/cea-0008/manifest.json
Utopia, Armarium codicum bibliophilorum (Organisation);Cod. 100;;;;;;;;;;;;;;;;;;;;;;;https://www.e-codices.unifr.ch/metadata/iiif/utp-0100/manifest.json
Utopia, Armarium codicum bibliophilorum (Organisation);Cod. 101;;;;;;;;;;;;;;;;;;;;;;;https://www.e-codices.unifr.ch/metadata/iiif/utp-0101/manifest.json
Utopia, Armarium codicum bibliophilorum (Organisation);Cod. 102;;;;;;;;;;;;;;;;;;;;;;;https://www.e-codices.unifr.ch/metadata/iiif/utp-0102/manifest.json
Utopia, Armarium codicum bibliophilorum (Organisation);Cod. 103;;;;;;;;;;;;;;;;;;;;;;;https://www.e-codices.unifr.ch/metadata/iiif/utp-0103/manifest.json
Utopia, Armarium codicum bibliophilorum (Organisation);Cod. 104;;;;;;;;;;;;;;;;;;;;;;;https://www.e-codices.unifr.ch/metadata/iiif/utp-0104/manifest.json
Utopia, Armarium codicum bibliophilorum (Organisation);Cod. 105;;;;;;;;;;;;;;;;;;;;;;;https://www.e-codices.unifr.ch/metadata/iiif/utp-0105/manifest.json
Utopia, Armarium codicum bibliophilorum (Organisation);Cod. 106;;;;;;;;;;;;;;;;;;;;;;;https://www.e-codices.unifr.ch/metadata/iiif/utp-0106/manifest.json
Utopia, Armarium codicum bibliophilorum (Organisation);Cod. 108;;;;;;;;;;;;;;;;;;;;;;;https://www.e-codices.unifr.ch/metadata/iiif/utp-0108/manifest.json
Utopia, Armarium codicum bibliophilorum (Organisation);Cod. 109;;;;;;;;;;;;;;;;;;;;;;;https://www.e-codices.unifr.ch/metadata/iiif/utp-0109/manifest.json
Utopia, Armarium codicum bibliophilorum (Organisation);Cod. 110;;;;;;;;;;;;;;;;;;;;;;;https://www.e-codices.unifr.ch/metadata/iiif/utp-0110/manifest.json
Utopia, Armarium codicum bibliophilorum (Organisation);Cod. 111;;;;;;;;;;;;;;;;;;;;;;;https://www.e-codices.unifr.ch/metadata/iiif/utp-0111/manifest.json
Zürich, Schweizerisches Nationalmuseum (Organisation);LM 1314;;;;;;;;;;;;;;;;;;;;;;;https://www.e-codices.unifr.ch/metadata/iiif/snm-LM001314/manifest.json
Zürich, Schweizerisches Nationalmuseum (Organisation);LM 51690.1;;;;;;;;;;;;;;;;;;;;;;;https://www.e-codices.unifr.ch/metadata/iiif/snm-LM051690-1/manifest.json
Zürich, Schweizerisches Nationalmuseum (Organisation);LM 51690.2;;;;;;;;;;;;;;;;;;;;;;;https://www.e-codices.unifr.ch/metadata/iiif/snm-LM051690-2/manifest.json
Zürich, Schweizerisches Nationalmuseum (Organisation);LM 51690.3;;;;;;;;;;;;;;;;;;;;;;;https://www.e-codices.unifr.ch/metadata/iiif/snm-LM051690-3/manifest.json
Zürich, Schweizerisches Nationalmuseum (Organisation);LM 51690.4;;;;;;;;;;;;;;;;;;;;;;;https://www.e-codices.unifr.ch/metadata/iiif/snm-LM051690-4/manifest.json
Zürich, Schweizerisches Nationalmuseum (Organisation);LM 51690.5;;;;;;;;;;;;;;;;;;;;;;;https://www.e-codices.unifr.ch/metadata/iiif/snm-LM051690-5/manifest.json
Zürich, Schweizerisches Nationalmuseum (Organisation);LM 51690.6;;;;;;;;;;;;;;;;;;;;;;;https://www.e-codices.unifr.ch/metadata/iiif/snm-LM051690-6/manifest.json
Zürich, Schweizerisches Nationalmuseum (Organisation);LM 51702;;;;;;;;;;;;;;;;;;;;;;;https://www.e-codices.unifr.ch/metadata/iiif/snm-LM051702/manifest.json
Zürich, Zentralbibliothek (Organisation);C 168;;;;233 ff. (CCLL);141;96;;;1;18;;;Cursiva;Formata;;;;;1481;1490;From : 1400 (CCLL) To : 1500 (CCLL);Luzern (Place)|Zürich (Place);https://www.e-manuscripta.ch/i3f/v20/1657119/manifest
Zürich, Zentralbibliothek (Organisation);Rheinau 169;;;;176 ff. (CCLL);233;170;;;1;;;;;;;;;;1430;1450;From : 1480 (CCLL) To : 1520 (CCLL);Besançon (Place)|Franche-Comté (Place)|Chalon-sur-Saône (Place);https://www.e-manuscripta.ch/i3f/v20/2406069/manifest
Praha, Klášter premonstrát? na Strahov? (Organisation);DG IV 01;;;;222 ff.;84;60;;;1;;;;Textualis meridionalis;Formata;;;;;1451;1475;;Flandre (Place);https://collectiones.manuscriptorium.com/assorted/AIPDIG/KKPS__/6/AIPDIG-KKPS__DG_IV_1_____3Z3XO66-cs/
Praha, Knihovna Národního muzea (Organisation);XIII.G.54;100002834;;parchment;10 ff.;175;130;85;55;1;12;;;Textualis;Formata;;;;;1441;1460;"XV med. (Dragoun 2011); 1401-1500 (Medium)";France (Place);https://collectiones.manuscriptorium.com/assorted/AIPDIG/NMP___/8/AIPDIG-NMP___XIII_G_54___39LGU58-cs/
Praha, Knihovna Národního muzea (Organisation);XVI.G.77;100002906;;parchment;129 ff.;140;105;80;6;1;13;;;Textualis;Formata;;;6 miniatures (f. 13, 51, 54, 60, 81, 116), bordures, lettres ornées (Virgo);;1401;1450;"1401-1500 (Medium) From : 1440 (CCLL) To : 1460 (CCLL); XV.1 (Dragoun 2011)";Flandre (Place);https://collectiones.manuscriptorium.com/assorted/AIPDIG/NMP___/D/AIPDIG-NMP___XVI_G_77____2H3QQHD-cs/
Fulda, Hochschul- und Landesbibliothek (Organisation);100 Aa 124;;;;253 ff. (CCLL);145;95;;;1;;;;;;;;;;1450;1460;;Utrecht (Place);https://fuldig.hs-fulda.de/viewer/rest/iiif/manifests/PPN321275802/manifest
Fulda, Hochschul- und Landesbibliothek (Organisation);100 Aa 126;;;;148 f.;130;95;;;1;;;;;;;;;;1401;1450;From : 1500 (CCLL) To : 1550 (CCLL);Italia, Nord (Place);https://fuldig.hs-fulda.de/viewer/rest/iiif/manifests/PPN314751521/manifest
Fulda, Hochschul- und Landesbibliothek (Organisation);100 Aa 131;;;;;;;;;;;;;;;;;;;;;;;https://fuldig.hs-fulda.de/viewer/rest/iiif/manifests/PPN434646423/manifest
Fulda, Hochschul- und Landesbibliothek (Organisation);100 Aa 132;;;;194 ff. (CCLL);100;70;;;1;;;;;;;;;;1400;1450;;Deutschland (Place);https://fuldig.hs-fulda.de/viewer/rest/iiif/manifests/PPN434646644/manifest
Fulda, Hochschul- und Landesbibliothek (Organisation);100 Aa 137;100086597;;;154 ff. (CCLL);185;130;;;1;;;;;;;;;;1480;1500;;Paris (Place);https://fuldig.hs-fulda.de/viewer/rest/iiif/manifests/PPN314754601/manifest
Fulda, Hochschul- und Landesbibliothek (Organisation);100 Aa 65;;;parchment;187 ff. (CCLL);240;160;;;1;;;;;;;;11 miniatures, bordures, lettres ornées (Defuncti);;1476;1500;c.1475-1500;France, Nord (Place);https://fuldig.hs-fulda.de/viewer/rest/iiif/manifests/PPN321296575/manifest
Fulda, Hochschul- und Landesbibliothek (Organisation);100 Aa 86;;;parchment;200 ff. (CCLL);90;70;;;1;;;;;;;;38 miniatures, bordures, lettres ornées (Defuncti);;1490;1510;c.1500;Flandre (Place);https://fuldig.hs-fulda.de/viewer/rest/iiif/manifests/PPN321296737/manifest
Karlsruhe, Badische Landesbibliothek (Organisation);Aug. perg. 267;100128137;;;100 ff. (CCLL);126;96;;;1;;;;;;;;;;1400;1500;;;https://digital.blb-karlsruhe.de/i3f/v20/3320343/manifest
Karlsruhe, Badische Landesbibliothek (Organisation);Durlach 1;100128130;;;112 ff. (CCLL);146;103;;;1;;;;;;;;;;1490;1490;;;https://digital.blb-karlsruhe.de/i3f/v20/490655/manifest
Karlsruhe, Badische Landesbibliothek (Organisation);Karlsruhe 1271;100055794;;parchment;128 f.;183;127;;;1;;;;;;;;;;1470;1480;From : 1470 (CCLL) To : 1480 (CCLL);;https://digital.blb-karlsruhe.de/i3f/v20/2271795/manifest
Karlsruhe, Badische Landesbibliothek (Organisation);Karlsruhe 3118;;;;172 ff. (CCLL);158;115;;;1;;;;;;;;;;1490;1490;;;https://digital.blb-karlsruhe.de/i3f/v20/2926713/manifest
Karlsruhe, Badische Landesbibliothek (Organisation);Karlsruhe 3125;100055796;;parchment;92 f.;155;100;;;1;;;;;;;;;;1490;1510;From : 1500 (CCLL) To : 1500 (CCLL);;https://digital.blb-karlsruhe.de/i3f/v20/3087863/manifest
Karlsruhe, Badische Landesbibliothek (Organisation);Karlsruhe 92;;;;191 ff. (CCLL);130;85;;;1;;;;;;;;;;1300;1320;;;https://digital.blb-karlsruhe.de/i3f/v20/2936647/manifest
Karlsruhe, Badische Landesbibliothek (Organisation);Karlsruhe 93;;;;223 ff. (CCLL);130;85;;;1;;;;;;;;;;1300;1320;;;https://digital.blb-karlsruhe.de/i3f/v20/2936640/manifest
Karlsruhe, Badische Landesbibliothek (Organisation);Lichtenthal 45;;;;I+082 ff. (CCLL);140;100;;;1;;;;;;;;;;1523;1523;;;https://digital.blb-karlsruhe.de/i3f/v20/1158471/manifest
Karlsruhe, Badische Landesbibliothek (Organisation);Lichtenthal 48;;;;;;;;;;;;;;;;;;;;;;;https://digital.blb-karlsruhe.de/i3f/v20/1158513/manifest
Karlsruhe, Badische Landesbibliothek (Organisation);Lichtenthal 55;;;;160+I ff. (CCLL);95;65;;;1;;;;;;;;;;1400;1500;;;https://digital.blb-karlsruhe.de/i3f/v20/1158560/manifest
Karlsruhe, Badische Landesbibliothek (Organisation);Rastatt 30;;;parchment;112 ff. (CCLL);195;135;;;1;;;;;;;;;;1440;1485;c.1450-1475;;https://digital.blb-karlsruhe.de/i3f/v20/555510/manifest
Karlsruhe, Badische Landesbibliothek (Organisation);St. Georgen 28;100128136;;parchment;128 ff. (CCLL);158;118;;;1;;;;;;;;;;1430;1470;c.1440-1460 (c.1420-1450 ??);;https://digital.blb-karlsruhe.de/i3f/v20/2271783/manifest
Karlsruhe, Badische Landesbibliothek (Organisation);St. Peter perg. 100;;;;197 ff. (CCLL);110;75;;;1;;;;;;;;;;1450;1500;;;https://digital.blb-karlsruhe.de/i3f/v20/574699/manifest
Karlsruhe, Badische Landesbibliothek (Organisation);St. Peter perg. 101;;;;113 ff. (CCLL);95;70;;;1;;;;;;;;;;1450;1500;;;https://digital.blb-karlsruhe.de/i3f/v20/574706/manifest
Karlsruhe, Badische Landesbibliothek (Organisation);St. Peter perg. 106;;;;II+287 ff. (CCLL);130;95;;;1;;;;;;;;;;1500;1500;;;https://digital.blb-karlsruhe.de/i3f/v20/575081/manifest
Karlsruhe, Badische Landesbibliothek (Organisation);St. Peter perg. 107;;;;254 ff. (CCLL);105;80;;;1;;;;;;;;;;1500;1550;;;https://digital.blb-karlsruhe.de/i3f/v20/408494/manifest
Karlsruhe, Badische Landesbibliothek (Organisation);St. Peter perg. 118;;;;092 ff. (CCLL);120;85;;;1;;;;;;;;;;1482;1482;;;https://digital.blb-karlsruhe.de/i3f/v20/532898/manifest
Karlsruhe, Badische Landesbibliothek (Organisation);St. Peter perg. 38a;;;;206 ff. (CCLL);105;80;;;1;;;;;;;;;;1480;1520;;;https://digital.blb-karlsruhe.de/i3f/v20/575155/manifest
Karlsruhe, Badische Landesbibliothek (Organisation);St. Peter perg. 66;;;;II+080 ff. (CCLL);180;130;;;1;;;;;;;;;;1478;1478;;;https://digital.blb-karlsruhe.de/i3f/v20/574742/manifest
Karlsruhe, Badische Landesbibliothek (Organisation);St. Peter perg. 76;;;;300 ff. (CCLL);115;85;;;1;;;;;;;;;;1500;1500;;;https://digital.blb-karlsruhe.de/i3f/v20/408601/manifest
Karlsruhe, Badische Landesbibliothek (Organisation);St. Peter perg. 77;;;;267+I ff. (CCLL);170;115;;;1;;;;;;;;;;1450;1500;;;https://digital.blb-karlsruhe.de/i3f/v20/574763/manifest
Karlsruhe, Badische Landesbibliothek (Organisation);St. Peter perg. 99;;;;093 ff. (CCLL);115;80;;;1;;;;;;;;;;1350;1400;;;https://digital.blb-karlsruhe.de/i3f/v20/574692/manifest
München, Bayerische Staatsbibliothek (Organisation);Cgm 8346;;;;;;;;;;;;;;;;;;;;;;;https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00036276/manifest
München, Bayerische Staatsbibliothek (Organisation);Clm 06116;;;;221 ff. (CCLL);;;;;1;;;;;;;;;1328;;;From : 1300 (CCLL) To : 1350 (CCLL);;https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00029188/manifest
München, Bayerische Staatsbibliothek (Organisation);Clm 08713;;;;185 ff. (CCLL);170;120;;;1;;;;;;;;;;1280;1300;;;https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00036252/manifest
München, Bayerische Staatsbibliothek (Organisation);Clm 10103;100062516;;;202 ff. (CCLL);165;103;;;1;;;;;;;;;;1480;1500;;;https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00047854/manifest
München, Bayerische Staatsbibliothek (Organisation);Clm 23634;;;;;;;;;;;;;;;;;;;1401;1450;;Bologna (Place);https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00019607/manifest
München, Bayerische Staatsbibliothek (Organisation);Clm 23637;;;parchment;i + 219 + i ff.;166;115;;;;;;;;;;;;;1515;1535;c.1525 (c.1520-1525);;https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00113507/manifest
München, Bayerische Staatsbibliothek (Organisation);Clm 28244;;;;108 ff. (CCLL);165;130;;;1;;;;;;;;;;1200;1220;;;https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00105800/manifest
München, Bayerische Staatsbibliothek (Organisation);Clm 30147;;;;;;;;;;;;;;;;;;;;;;;https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00034958/manifest
München, Bayerische Staatsbibliothek (Organisation);Cod. gall. 40;;;;;;;;;;;;;;;;;;;1435;1455;;Nederland, Sud (Place);https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00095049/manifest
Madrid, Biblioteca Nacional de España (Organisation);Vitr. 24-01;14624;;parchment;112 f.;244;170;;;1;;;;;;;;31 miniatures, bordures, lettres ornées (Virgo);;1401;1500;1401-1500 (Medium) From : 1494 (CCLL) To : 1498 (CCLL);Paris (Place);https://collectiones.manuscriptorium.com/assorted/BNE___/NLS___/6/BNE___-NLS___VITR_024_0014CO1ZM6-es/
Madrid, Real Biblioteca (Organisation);II/2099;100134048;;;205 ff. (CCLL);185;135;;;1;;;;;;;;;;1400;1410;;;https://collectiones.manuscriptorium.com/assorted/PNES__/PNES__/A/PNES__-PNES__II_2099_____1SFA4YA-es/
Madrid, Real Biblioteca (Organisation);II/2101;100134042;;;119 ff. (CCLL);195;130;;;1;;;;;;;;;;1480;1480;;;https://collectiones.manuscriptorium.com/assorted/PNES__/PNES__/6/PNES__-PNES__II_2101_____382A9Y6-es/
Madrid, Real Biblioteca (Organisation);II/2100;;;;167 ff. (CCLL);200;140;;;1;;;;;;;;Provençal painter;;1430;1470;c.1440-1460;Provence (Place);https://collectiones.manuscriptorium.com/assorted/PNES__/PNES__/0/PNES__-PNES__II_2100_____3L6PHR0-es/
Madrid, Real Biblioteca (Organisation);II/Tesoro;;;parchment;III+365+III ff. (CCLL);202;135;;;1;;;;;;;;;;1445;1467;c.1455 (before 1467);;https://rbdigital.realbiblioteca.es/files/manifests/II-Tesoro.json?manifest=https://rbdigital.realbiblioteca.es/files/manifests/II-Tesoro.json
Abbeville, Bibliothèque municipale (Organisation);15;5;;parchment;115 f.;250;180;;;1;17;;;Textualis;Formata;;;1 miniature (f. 18v°), bordures, 1 lettre historiée (f. 19), lettres ornées (Virgo);;1451;1550;15e-16e s. (Medium) From : 1400 (CCLL) To : 1500 (CCLL);France (Place);https://bvmm.irht.cnrs.fr/iiif/21537/manifest
Albi, Bibliothèque municipale (Organisation);0052 (004);100016874;;parchment;143 f.;155;100;;;1;16;;;Textualis;Formata;;;;;1401;1500;1401-1500 (Medium);;https://bvmm.irht.cnrs.fr/iiif/2801/manifest
