Column,Manuscript H-ID,repository_key (Organisation) Record Title,idno,idMedium,support,extent,dimensions (h x w),justification : height (mm),justification : width (mm),columns,writtenLines,writtenLines (notes),writtenLines (note),script type,formality,scriptNote,note (deco),origDate,origDate : from,origDate : to,origDate : proposed date,origPlace (relationship marker) H-ID,iiif manifest
10,458,"Basel, Universitätsbibliothek",AN VIII 45,,,125 f.,164 x 122,,,1.0,,,,,,,,,1451,1475,From : 1465 (CCLL) To : 1465 (CCLL),Ferrara,https://www.e-codices.unifr.ch/metadata/iiif/ubb-AN-VIII-0045/manifest.json
11,461,"Chavannes-près-Renens, Archives cantonaes vaudoises",P Château de la Sarraz H 50,100090682,,A-B+378+Y-Z ff. (CCLL),,,,,,,,,,,,1421,1411,1431,From : 1421 (CCLL) To : 1421 (CCLL),Paris,https://www.e-codices.unifr.ch/metadata/iiif/acv-P-Sarraz-H-0050/manifest.json
12,504,"Genève, Bibliothèque de Genève",Comites Latentes 038,100128060,,,,,,1.0,,,,,,,,,1465,1475,,,https://e-codices.unifr.ch/metadata/iiif/bge-cl0038/manifest.json
13,510,"Genève, Bibliothèque de Genève",Comites Latentes 054,,,226 f.,,,,,,,,,,,,,1451,1475,,Firenze,https://www.e-codices.unifr.ch/metadata/iiif/bge-cl0054/manifest.json
14,513,Genève Bibliothèque de Genève,Comites Latentes 124,,,,,,,,,,,,,,,,,,,,https://www.e-codices.unifr.ch/metadata/iiif/bge-cl0124/manifest.json
15,521,"Genève, Bibliothèque de Geève",lat. 031,100086638,,222 ff. (CCLL),185 x 130,98,62,1.0,15.0,,,,,Minuscule gothique (XVe s.),"35 miniatures (f. 15, 18v°, 20, 21v°, 25v°, 31, 56v°, 68v°, 75, 80, 84v°, 89, 96v°, 103, 123, 131v°, 139, 191, 197v°, 201v°, 202, 203, 203v°, 204v°- 205v° , 206v°, 208, 209-209v°, 210v°, 211, 212-212v°), bordures, lettres ornées (Virgo)",,1450,1500,2e moitié XVe s.,France,https://e-codices.unifr.ch/metadata/iiif/bge-lat0031/manifest.json
16,522,"uGenève, Bibliothèqe de Genève",lat. 032,,,244 ff. (CCLL),160 x 115,90,60,1.0,20.0,,,,,Minuscule bâtarde (XVe s.),"8 miniatures (f. 29, 52, 68, 83, 97, 115, 131, 149), bordures, 9 lettres historiées (f. 13, 14, 15v°, 16v°, 17v°, 24, 29, 204v°, 215), lettres ornées et filigranées (Virgo)",,1440,1460,From : 1435 (CCLL) To : 1460 (CCLL)|XVe s.,Paris,https://www.e-codices.unifr.ch/metadata/iiif/bge-lat0032/manifest.json
17,523,"Genève, Bibliothèque de Genève",lat. 032a,,,II+092+II+I ff. (CCLL),191 x 141,95,67,1.0,18.0,,,,,Minuscule gothique (XVe s.),"2 miniatures (f. 15, 74v°), bordures, lettres ornées et filigranées (Virgo)",,1450,1470,From : 1400 (CCLL) To : 1500 (CCLL)|XVe s. (v. 1460),Geneva,https://www.e-codices.unifr.ch/metadata/iiif/bge-lat0032a/manifest.json
18,524,"Genève, Bibliothèque de Genève",lat. 033,100086639,parchment,187 f.,135 x 90,65,45,1.0,14.0,,,,,Minuscule bâtarde primitive,"22 miniatures (f. 13, 15, 17, 19, 21, 45v°, 57, 58v°, 60, 66v°, 71, 75, 79, 87v°, 96, 120, 169v°, 172v°, 176, 181v°, 186, 187), bordures, lettres ornées (Virgo)",,1451,1475,From : 1475 (CCLL) To : 1500 (CCLL)|3e quart du XVe s.,France,https://www.e-codices.unifr.ch/metadata/iiif/bge-lat0033/manifest.json
19,525,"Genève, Bibliothèque de Genève",lat. 034,9249,,126 ff. (CCLL),167 x 108,113,62,1.0,24.0,,,,,Minuscule bâtarde (XVe s.),"6 miniatures (f. 15, 23, 74, 94v°, 108v°, 111v°), bordures, lettres ornées (Virgo)",,1401,1500,1401-1500 (Medium) From : 1450 (CCLL) To : 1500 (CCLL)|2e moitié XVe s.,Tours,https://www.e-codices.unifr.ch/metadata/iiif/bge-lat0034/manifest.json
20,526,"Genève, Bibliothèque de Genève",lat. 035,9250,,192 ff. (CCLL),170 x 118,86,54,1.0,14.0,,,,,Minuscule bâtarde,"14 miniatures (f. 13, 21v°, 33, 50, 67, 74, 80v°, 87, 93, 105, 113, 142, 153, 162), bordures, 17 lettres historiées (f. 15v°, 17v°, 19v°, 21v°, 26v°, 50, 67, 74, 80, 93, 105, 113, 142, 153, 162, 164, 172), lettres ornées (Virgo)",,1401,1500,1401-1500 (Medium) From : 1450 (CCLL) To : 1500 (CCLL)|2e moitié XVe s.,France,https://www.e-codices.unifr.ch/metadata/iiif/bge-lat0035/manifest.json
21,530,"Geève, Bibliothèque de Genève",lat. 147,100086642,,197 ff. (CCLL),116 x 70,85,40,1.0,24.0,,,,,Minuscule bâtarde (v. 1500),"35 miniatures (f. 8, 10, 11v°, 13, 14v°, 18, 26, 34, 42v°, 45, 46v°, 54, 60v°, 72v°, 81v°, 107, 122, 158, 159, 160, 161, 162v°, 164, 165v°, 167v°, 171, 175, 178, 186, 187, 188, 190), lettres ornées (Virgo)",,1490,1510,From : 1500 (CCLL) To : 1500 (CCLL)|v. 1500,Bourges,https://www.e-codices.unifr.ch/metadata/iiif/bge-lat0147/manifest.json
22,535,"Genève, Bibliothèque de Genève",lat. 367,,,,,,,,,,,,,,,,,,,,https://www.e-codices.unifr.ch/metadata/iiif/bge-lat0367/manifest.json
23,536,"Hsermetschwil, Benediktinerinnenkloster",Cod. chart. 139,100119740,paper,139 f.,160 x 115,,,,,25.0,,,,,,,1476,1480,,Zürich,https://www.e-codices.unifr.ch/metadata/iiif/hba-chart0139/manifest.json
24,537,"Hermetschwil, Benediktierinnenkloster",Cod. chart. 140,,,,,,,,,,,,,,,,,,,,https://www.e-codices.unifr.ch/metadata/iiif/hba-chart0140/manifest.json
25,538,"Hermetschwl, Benediktinerinnenkloster",Cod. chart. 195,100046166,,,,,,,,,,,,,,,,,,,https://www.e-codices.unifr.ch/metadata/iiif/hba-chart0195/manifest.json
26,539,"Hermetschwil, Benediktinerinnenkoster",Cod. membr. 35,100134996,,,,,,,,,,,,,,,,,,,https://www.e-codices.unifr.ch/metadata/iiif/hba-membr0035/manifest.json
27,540,"Hermetschwil, Beneditinerinnenkloster",Cod. membr. 61,100119748,,,,,,,,,,,,,,,,,,,https://www.e-codices.unifr.ch/metadata/iiif/hba-membr0061/manifest.json
28,543,"uzern, Zentral- und Hochschulbibliothek",P 6 4°,100110001,,,,,,,,,,,,,,,,,,,https://www.e-codices.unifr.ch/metadata/iiif/zhl-P0006-4/manifest.json
29,546,"Neuchtel, Bibliothèque publque et universitaire de Neuchâte",AF A28,100134355,parchment,229 ff.,150 x 0,,,,,,,,,,,,1495,1515,c.1500-1505,,https://www.e-codices.unifr.ch/metadata/iiif/bpun-A0028/manifest.json
30,547,"Porrentruy, Bibliothèque cantonale jurassienne",Ms. 9,100134911,,089 ff. (CCLL),,,,,,,,,,,,,1400,1430,,Besançon,https://www.e-codices.unifr.ch/metadata/iiif/bcj-0009/manifest.json
31,562,"Sarvnen, Benediktinerkollegium",Cod. membr. 64,100119767,parchment,119 f.,108 x 83,70,50,,,22.0,,,,,,,1476,1525,,,https://www.e-codices.unifr.ch/metadata/iiif/bks-membr0064/manifest.json
32,566,"St. Gallen, Stiftsbibliothek",Cod. Sang. 2107,,,,,,,,,,,,,,,,,,,,https://www.e-codices.unifr.ch/metadata/iiif/csg-2107/manifest.json
33,567,"St. Gallen, tiftsbibliothek",Cod. Sang. 470,,,,,,,,,,,,,,,,,,,,https://e-codices.unifr.ch/metadata/iiif/csg-0470/manifest.json
34,569,"Trogen, Kantonsbibliotjhek Appenzell Ausserrhoden",CM Ms. 4,100085178,parchment,202 f.,,,,,,,,,,,,,1401,1415,,,https://www.e-codices.unifr.ch/metadata/iiif/cea-0004/manifest.json
35,570,"Trogen, Kantonsbibliothek Appenzell Ausserrhodn",CM Ms. 5,100085179,parchment,191 f.,,,,,,,,,,,,,1401,1550,,,https://www.e-codices.unifr.ch/metadata/iiif/cea-0005/manifest.json
36,571,"Trogen, Kantonsbibliothek Appenzell Ausserrhoden",CM Ms. 6,100085177,parchment,212 f.,,,,,,,,,,,,,1446,1455,,,https://www.e-codices.unifr.ch/metadata/iiif/cea-0006/manifest.json
37,572,"Trogen, Kantonsbibliothek Appenzelfl Aussrrhoden",CM Ms. 7,,parchment,108 f.,180 x 130,,,,,,,,,,,,1490,1510,c.1500,,https://www.e-codices.unifr.ch/metadata/iiif/cea-0007/manifest.json
38,573,"Trogen, Kantonsbibliothek Appengzell Ausserrhodden",CM Ms. 8,100122034,,,,,,,,,,,,,,,,,,,https://www.e-codices.unifr.ch/metadata/iiif/cea-0008/manifest.json
39,574,"Utopdia, iArmarium codicum bibliopbhilorum",Cod. 100,,,,,,,,,,,,,,,,,,,,https://www.e-codices.unifr.ch/metadata/iiif/utp-0100/manifest.json
40,575,"Utopia, Armarium codicum bibliophidlorum",Cod. 101,,,,,,,,,,,,,,,,,,,,https://www.e-codices.unifr.ch/metadata/iiif/utp-0101/manifest.json
41,576,"Utotpia, Armarilum codicum biliophilorum",Cod. 102,,,,,,,,,,,,,,,,,,,,https://www.e-codices.unifr.ch/metadata/iiif/utp-0102/manifest.json
42,577,"Utopia, Armarium codicum bibliophilorum",Cod. 103,,,,,,,,,,,,,,,,,,,,https://www.e-codices.unifr.ch/metadata/iiif/utp-0103/manifest.json
43,578,"Utpia, Armarium codicum bibliophilorum",Cod. 104,,,,,,,,,,,,,,,,,,,,https://www.e-codices.unifr.ch/metadata/iiif/utp-0104/manifest.json
44,579,"Utopia, Armarium codicum bibliophilorum",Cod. 105,,,,,,,,,,,,,,,,,,,,https://www.e-codices.unifr.ch/metadata/iiif/utp-0105/manifest.json
45,580,"topia, Armarijum codicum bibliophilorum",Cod. 106,,,,,,,,,,,,,,,,,,,,https://www.e-codices.unifr.ch/metadata/iiif/utp-0106/manifest.json
46,581,"Utopia, Airmarium codicum bibliophilorum",Cod. 108,,,,,,,,,,,,,,,,,,,,https://www.e-codices.unifr.ch/metadata/iiif/utp-0108/manifest.json
47,582,"Utopia, Armarium coicum bibliophilorum",Cod. 109,,,,,,,,,,,,,,,,,,,,https://www.e-codices.unifr.ch/metadata/iiif/utp-0109/manifest.json
48,583,"Utopia, Armarium codicum bibliophilorum",Cod. 110,,,,,,,,,,,,,,,,,,,,https://www.e-codices.unifr.ch/metadata/iiif/utp-0110/manifest.json
49,584,"Utopia, Armarium codicum bibliophilorum",Cod. 111,,,,,,,,,,,,,,,,,,,,https://www.e-codices.unifr.ch/metadata/iiif/utp-0111/manifest.json
50,585,"Zürich, Schweizerisches Nationalmuseum",LM 1314,,,,,,,,,,,,,,,,,,,,https://www.e-codices.unifr.ch/metadata/iiif/snm-LM001314/manifest.json
51,586,"Zürich, Schweizerisches Nationalmuseum",LM 51690.1,,,,,,,,,,,,,,,,,,,,https://www.e-codices.unifr.ch/metadata/iiif/snm-LM051690-1/manifest.json
52,587,"Zürich, Schweizerisches Nationalmuseum",LM 51690.2,,,,,,,,,,,,,,,,,,,,https://www.e-codices.unifr.ch/metadata/iiif/snm-LM051690-2/manifest.json
53,588,"Zürich, Schweizerirsches Nationalmuseum",LM 51690.3,,,,,,,,,,,,,,,,,,,,https://www.e-codices.unifr.ch/metadata/iiif/snm-LM051690-3/manifest.json
54,589,"Zürich, Schweizerisches Nationalmuseum",LM 51690.4,,,,,,,,,,,,,,,,,,,,https://www.e-codices.unifr.ch/metadata/iiif/snm-LM051690-4/manifest.json
55,590,"Zürich, Schweizerisches Nationalmuseum",LM 51690.5,,,,,,,,,,,,,,,,,,,,https://www.e-codices.unifr.ch/metadata/iiif/snm-LM051690-5/manifest.json
56,591,Zürich Schweizerisches Nationalmuseum,LM 51690.6,,,,,,,,,,,,,,,,,,,,https://www.e-codices.unifr.ch/metadata/iiif/snm-LM051690-6/manifest.json
57,592,"Zrich, Schweizeriseches Nationalmuseum",LM 51702,,,,,,,,,,,,,,,,,,,,https://www.e-codices.unifr.ch/metadata/iiif/snm-LM051702/manifest.json
58,596,"Zürich, Zentralbibliozthek",C 168,,,233 ff. (CCLL),141 x 96,,,1.0,18.0,,,Cursiva,Formata,,,,1481,1490,From : 1400 (CCLL) To : 1500 (CCLL),Luzern|Zürich,https://www.e-manuscripta.ch/i3f/v20/1657119/manifest
59,610,"Zürich, Zentralbibliothek",Rheinau 169,,,176 ff. (CCLL),233 x 170,,,1.0,,,,,,,,,1430,1450,From : 1480 (CCLL) To : 1520 (CCLL),Besançon|Franche-Comté|Chalon-sur-Saône,https://www.e-manuscripta.ch/i3f/v20/2406069/manifest
60,625,"raha, Klášter premonsetrátů na Strahnově",DG IV 01,,,222 ff.,84 x 60,,,1.0,,,,Textualis meridionalis,Formata,,,,1451,1475,,Flandre,https://collectiones.manuscriptorium.com/assorted/AIPDIG/KKPS__/6/AIPDIG-KKPS__DG_IV_1_____3Z3XO66-cs/
61,631,"Praha, Knihovna Ngárodního muzea",XIII.G.54,100002834,parchment,10 ff.,175 x 130,85,55,1.0,12.0,,,Textualis,Formata,,,,1441,1460,XV med. (Dragoun 2011); 1401-1500 (Medium),France,https://collectiones.manuscriptorium.com/assorted/AIPDIG/NMP___/8/AIPDIG-NMP___XIII_G_54___39LGU58-cs/
62,633,"Praha, Knihovna Národního muzea",XVI.G.77,100002906,parchment,129 ff.,140 x 105,80,6,1.0,13.0,,,Textualis,Formata,,"6 miniatures (f. 13, 51, 54, 60, 81, 116), bordures, lettres ornées (Virgo)",,1401,1450,1401-1500 (Medium) From : 1440 (CCLL) To : 1460 (CCLL); XV.1 (Dragoun 2011),Flandre,https://collectiones.manuscriptorium.com/assorted/AIPDIG/NMP___/D/AIPDIG-NMP___XVI_G_77____2H3QQHD-cs/
63,772,"Fulda, Hochschul- und Landesbibliothek",100 Aa 124,,,253 ff. (CCLL),145 x 95,,,1.0,,,,,,,,,1450,1460,,Utrecht,https://fuldig.hs-fulda.de/viewer/rest/iiif/manifests/PPN321275802/manifest
64,773,"Fulda, Hochschul- und Landesbibliothek",100 Aa 126,,,148 f.,130 x 95,,,1.0,,,,,,,,,1401,1450,From : 1500 (CCLL) To : 1550 (CCLL),"Italia, Nord",https://fuldig.hs-fulda.de/viewer/rest/iiif/manifests/PPN314751521/manifest
65,774,"Flda, Hochschul- und Landesbibliothek",100 Aa 131,,,,,,,,,,,,,,,,,,,,https://fuldig.hs-fulda.de/viewer/rest/iiif/manifests/PPN434646423/manifest
66,775,"Fulda, Hochschulr- und Landesbibliothek",100 Aa 132,,,194 ff. (CCLL),100 x 70,,,1.0,,,,,,,,,1400,1450,,Deutschland,https://fuldig.hs-fulda.de/viewer/rest/iiif/manifests/PPN434646644/manifest
67,777,"Fulda, Hochschul- und Landesbibliothek",100 Aa 137,100086597,,154 ff. (CCLL),185 x 130,,,1.0,,,,,,,,,1480,1500,,Paris,https://fuldig.hs-fulda.de/viewer/rest/iiif/manifests/PPN314754601/manifest
68,779,"Fulda, Hochschul- und Landesbbliothek",100 Aa 65,,parchment,187 ff. (CCLL),240 x 160,,,1.0,,,,,,,"11 miniatures, bordures, lettres ornées (Defuncti)",,1476,1500,c.1475-1500,"France, Nord",https://fuldig.hs-fulda.de/viewer/rest/iiif/manifests/PPN321296575/manifest
69,780,"Fula, Hochschudl- und Landesbibliothek",100 Aa 86,,parchment,200 ff. (CCLL),90 x 70,,,1.0,,,,,,,"38 miniatures, bordures, lettres ornées (Defuncti)",,1490,1510,c.1500,Flandre,https://fuldig.hs-fulda.de/viewer/rest/iiif/manifests/PPN321296737/manifest
70,799,"Karlsruhe, Badische Landesbibliothek",Aug. perg. 267,100128137,,100 ff. (CCLL),126 x 96,,,1.0,,,,,,,,,1400,1500,,,https://digital.blb-karlsruhe.de/i3f/v20/3320343/manifest
71,800,"Karlsruhe, Badische Lanesbibliothek",Durlach 1,100128130,,112 ff. (CCLL),146 x 103,,,1.0,,,,,,,,,1490,1490,,,https://digital.blb-karlsruhe.de/i3f/v20/490655/manifest
72,801,"Karlsruehe, Badische Landesbibfliothek",Karlsruhe 1271,100055794,parchment,128 f.,183 x 127,,,1.0,,,,,,,,,1470,1480,From : 1470 (CCLL) To : 1480 (CCLL),,https://digital.blb-karlsruhe.de/i3f/v20/2271795/manifest
73,804,"Karlsruhe,c Badisfche Lwandesbibliothek",Karlsruhe 3118,,,172 ff. (CCLL),158 x 115,,,1.0,,,,,,,,,1490,1490,,,https://digital.blb-karlsruhe.de/i3f/v20/2926713/manifest
74,805,"Karlsruhe, Bdische Landwesbibliothek",Karlsruhe 3125,100055796,parchment,92 f.,155 x 100,,,1.0,,,,,,,,,1490,1510,From : 1500 (CCLL) To : 1500 (CCLL),,https://digital.blb-karlsruhe.de/i3f/v20/3087863/manifest
75,806,"Karlsruhe, Badische andesbibliothek",Karlsruhe 92,,,191 ff. (CCLL),130 x 85,,,1.0,,,,,,,,,1300,1320,,,https://digital.blb-karlsruhe.de/i3f/v20/2936647/manifest
76,807,"Karlsruhe, Badische Landesbibliothek",Karlsruhe 93,,,223 ff. (CCLL),130 x 85,,,1.0,,,,,,,,,1300,1320,,,https://digital.blb-karlsruhe.de/i3f/v20/2936640/manifest
77,809,"Karlsruhe, Badische Landesbibliothek",Lichtenthal 45,,,I+082 ff. (CCLL),140 x 100,,,1.0,,,,,,,,,1523,1523,,,https://digital.blb-karlsruhe.de/i3f/v20/1158471/manifest
78,810,"Kalsruhe, Bdische Landesbibliothek",Lichtenthal 48,,,,,,,,,,,,,,,,,,,,https://digital.blb-karlsruhe.de/i3f/v20/1158513/manifest
79,811,"Karlsruhe, Badtische Landesbibliothek",Lichtenthal 55,,,160+I ff. (CCLL),95 x 65,,,1.0,,,,,,,,,1400,1500,,,https://digital.blb-karlsruhe.de/i3f/v20/1158560/manifest
80,812,"Karlsruhe, Badische Landmesbibliothek",Rastatt 30,,parchment,112 ff. (CCLL),195 x 135,,,1.0,,,,,,,,,1440,1485,c.1450-1475,,https://digital.blb-karlsruhe.de/i3f/v20/555510/manifest
81,817,"Karlsrue, Badgische Landesbibliothek",St. Georgen 28,100128136,parchment,128 ff. (CCLL),158 x 118,,,1.0,,,,,,,,,1430,1470,c.1440-1460 (c.1420-1450 ??),,https://digital.blb-karlsruhe.de/i3f/v20/2271783/manifest
82,819,"Karlsruh, Badische Landesbibliothjek",St. Peter perg. 100,,,197 ff. (CCLL),110 x 75,,,1.0,,,,,,,,,1450,1500,,,https://digital.blb-karlsruhe.de/i3f/v20/574699/manifest
83,820,"Karlsruhe, Badische Landesibliothek",St. Peter perg. 101,,,113 ff. (CCLL),95 x 70,,,1.0,,,,,,,,,1450,1500,,,https://digital.blb-karlsruhe.de/i3f/v20/574706/manifest
84,821,"Karlsruhe, Bdische Landesbibliothek",St. Peter perg. 106,,,II+287 ff. (CCLL),130 x 95,,,1.0,,,,,,,,,1500,1500,,,https://digital.blb-karlsruhe.de/i3f/v20/575081/manifest
85,822,"Karlsruhe, Badische Landesbaibliothek",St. Peter perg. 107,,,254 ff. (CCLL),105 x 80,,,1.0,,,,,,,,,1500,1550,,,https://digital.blb-karlsruhe.de/i3f/v20/408494/manifest
86,823,"Karlsxruhe, Badische Landesbibliothek",St. Peter perg. 118,,,092 ff. (CCLL),120 x 85,,,1.0,,,,,,,,,1482,1482,,,https://digital.blb-karlsruhe.de/i3f/v20/532898/manifest
87,824,"Karlsruhe, Badische Landesbibliothek",St. Peter perg. 38a,,,206 ff. (CCLL),105 x 80,,,1.0,,,,,,,,,1480,1520,,,https://digital.blb-karlsruhe.de/i3f/v20/575155/manifest
88,825,"Karlsruhe, Buadische Landesbibliothe",St. Peter perg. 66,,,II+080 ff. (CCLL),180 x 130,,,1.0,,,,,,,,,1478,1478,,,https://digital.blb-karlsruhe.de/i3f/v20/574742/manifest
89,826,"Karlsruhe, Badische Landesbibliothek",St. Peter perg. 76,,,300 ff. (CCLL),115 x 85,,,1.0,,,,,,,,,1500,1500,,,https://digital.blb-karlsruhe.de/i3f/v20/408601/manifest
90,827,"Karlsruhe, Badische Landesbibliothek",St. Peter perg. 77,,,267+I ff. (CCLL),170 x 115,,,1.0,,,,,,,,,1450,1500,,,https://digital.blb-karlsruhe.de/i3f/v20/574763/manifest
91,828,"Karlsruhe, Badische Landesbibliothek",St. Peter perg. 99,,,093 ff. (CCLL),115 x 80,,,1.0,,,,,,,,,1350,1400,,,https://digital.blb-karlsruhe.de/i3f/v20/574692/manifest
92,849,"Moünchen, xBayerische Staatsbibliothek",Cgm 8346,,,,,,,,,,,,,,,,,,,,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00036276/manifest
93,854,"Münchegn, Bayerische Staatbibliothek",Clm 06116,,,221 ff. (CCLL),,,,1.0,,,,,,,,1328,,,From : 1300 (CCLL) To : 1350 (CCLL),,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00029188/manifest
94,855,"München, Bayerische Staatsbibliothek",Clm 08713,,,185 ff. (CCLL),170 x 120,,,1.0,,,,,,,,,1280,1300,,,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00036252/manifest
95,865,"München, Byerische Staatsbibliothek",Clm 10103,100062516,,202 ff. (CCLL),165 x 103,,,1.0,,,,,,,,,1480,1500,,,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00047854/manifest
96,878,"München, Bayerische Staatsbibliothek",Clm 23634,,,,,,,,,,,,,,,,1401,1450,,Bologna,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00019607/manifest
97,879,"Mnchen, Bayerqische Staatsbibliothek",Clm 23637,,parchment,i + 219 + i ff.,166 x 115,,,,,,,,,,,,1515,1535,c.1525 (c.1520-1525),,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00113507/manifest
98,881,"München, Bayerische Staatsbibliothek",Clm 28244,,,108 ff. (CCLL),165 x 130,,,1.0,,,,,,,,,1200,1220,,,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00105800/manifest
99,891,"München, Bayerische Staatsbibliothek",Clm 30147,,,,,,,,,,,,,,,,,,,,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00034958/manifest
100,893,"Münche, Bayerische Staatsbibliothek",Cod. gall. 40,,,,,,,,,,,,,,,,1435,1455,,"Nederland, Sud",https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00095049/manifest
101,1093,"Madrid, Biblioteca Nacional de España",Vitr. 24-01,14624,parchment,112 f.,244 x 170,,,1.0,,,,,,,"31 miniatures, bordures, lettres ornées (Virgo)",,1401,1500,1401-1500 (Medium) From : 1494 (CCLL) To : 1498 (CCLL),Paris,https://collectiones.manuscriptorium.com/assorted/BNE___/NLS___/6/BNE___-NLS___VITR_024_0014CO1ZM6-es/
102,1107,"Madrid, Real Biblioteca",II/2099,100134048,,205 ff. (CCLL),185 x 135,,,1.0,,,,,,,,,1400,1410,,,https://collectiones.manuscriptorium.com/assorted/PNES__/PNES__/A/PNES__-PNES__II_2099_____1SFA4YA-es/
103,1109,"Madri, eal Biblioteca",II/2101,100134042,,119 ff. (CCLL),195 x 130,,,1.0,,,,,,,,,1480,1480,,,https://collectiones.manuscriptorium.com/assorted/PNES__/PNES__/6/PNES__-PNES__II_2101_____382A9Y6-es/
104,1111,"Madrid, Real Biblioteca",II/2100,,,167 ff. (CCLL),200 x 140,,,1.0,,,,,,,Provençal painter,,1430,1470,c.1440-1460,Provence,https://collectiones.manuscriptorium.com/assorted/PNES__/PNES__/0/PNES__-PNES__II_2100_____3L6PHR0-es/
105,1112,"Madrid, Real Bblioteca",II/Tesoro,,parchment,III+365+III ff. (CCLL),202 x 135,,,1.0,,,,,,,,,1445,1467,c.1455 (before 1467),,https://rbdigital.realbiblioteca.es/files/manifests/II-Tesoro.json?manifest=https://rbdigital.realbiblioteca.es/files/manifests/II-Tesoro.json
106,1164,"Abbeville, Bibliothèque municipale",15,5,parchment,115 f.,250 x 180,,,1.0,17.0,,,Textualis,Formata,,"1 miniature (f. 18v°), bordures, 1 lettre historiée (f. 19), lettres ornées (Virgo)",,1451,1550,15e-16e s. (Medium) From : 1400 (CCLL) To : 1500 (CCLL),France,https://bvmm.irht.cnrs.fr/iiif/21537/manifest
